company_name,phone,website,address,city,state,lat,lng,rating,review_count,categories,source_url,source
Levinge Freightlines,+13074722050,,"1835 S Loop Ave, Casper, WY 82601",Casper,WY,42.8695696,-106.3475076,4.5,2,Trucking company,https://www.google.com/maps/search/?api=1&query=Levinge%20Freightlines&query_place_id=ChIJmYGHLdO8YIcRHvo5h_rCAcE,apify_google_maps
FedEx Ground,+18004633339,https://www.fedex.com/en-us/shipping/ground.html,"Truck Gate, 5655 Hood Wy, Tracy, CA 95377",Tracy,CA,37.7270867,-121.5050189,2.3,750,Shipping company;Warehouse,https://www.google.com/maps/search/?api=1&query=FedEx%20Ground&query_place_id=ChIJmzQUxHQikIAR5No3wTmNaIE,apify_google_maps
P C Transport Inc,+13072353367,http://pctiwy.com/,"2063 Skyview Dr, Casper, WY 82601",Casper,WY,42.8750902,-106.3516687,5,2,Trucking company,https://www.google.com/maps/search/?api=1&query=P%20C%20Transport%20Inc&query_place_id=ChIJV88ShSmjYIcRRj4EMOG6K8I,apify_google_maps
Ideal Transport-West,+17044512028,http://www.idealtransportinc.com/,"86 Allegiance Cir, Evanston, WY 82930",Evanston,WY,41.2587081,-110.9976529,5,4,Transportation service,https://www.google.com/maps/search/?api=1&query=Ideal%20Transport-West&query_place_id=ChIJ39yVQ4R5UYcRBGvibulv_o0,apify_google_maps
ABF Freight,+13076343486,https://arcb.com/shippers/solutions/less-than-truckload/abf-freight?refnum=LOCAL&utm_source=Google+Business&utm_medium=GMB+ABF,"2800 W Lincolnway, Cheyenne, WY 82001",Cheyenne,WY,41.1185611,-104.8556698,3.6,10,Trucking company;Logistics service;Shipping company;Shipping service;Transportation service,https://www.google.com/maps/search/?api=1&query=ABF%20Freight&query_place_id=ChIJQ7KmmQQwb4cRscwuZ7vF3eY,apify_google_maps
Western Peaks Logistics LLC,+13072662229,http://www.westernpeakslogistics.com/,"2600 E Yellowstone Hwy, Casper, WY 82609",Casper,WY,42.8563294,-106.2912144,3.3,23,Trucking company,https://www.google.com/maps/search/?api=1&query=Western%20Peaks%20Logistics%20LLC&query_place_id=ChIJkTMq_Hy8YIcR7NggMnSIbT4,apify_google_maps
"F&S Trucking, Inc.",+13073243170,https://www.fritzandsonstrucking.com/,"1920 Alton Ln, Rawlins, WY 82301",Rawlins,WY,41.7901954,-107.2150009,5,5,Trucking company,https://www.google.com/maps/search/?api=1&query=F%26S%20Trucking%2C%20Inc.&query_place_id=ChIJMYtcPZMBXYcRM64Pk2EPLQo,apify_google_maps
Caribbean Cargo DC,+13018871070,http://www.caribbeancargodc.com/,"9700 Martin Luther King Jr Hwy suite e, Lanham, MD 20706",Lanham,MD,38.951029,-76.8386709,4.2,226,Shipping service;Freight forwarding service;Logistics service;Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Caribbean%20Cargo%20DC&query_place_id=ChIJ84zNtM3Bt4kRGWgz_SuxKAs,apify_google_maps
Washington DC Auto Transport,+12029308005,https://www.washingtondcautotransport.com/,"7300 Georgia Ave NW, Washington, DC 20012",Washington,DC,38.9784802,-77.026638,4.9,9,Trucking company,https://www.google.com/maps/search/?api=1&query=Washington%20DC%20Auto%20Transport&query_place_id=ChIJyf1Ak5HIt4kRuYU_eQjg-Og,apify_google_maps
Black Road Alliance - Freight Trucking Company (Main Office),+13013271551,https://blackroadalliance.as.me/schedule.php,"6710 Oxon Hill Rd Suite 210, Oxon Hill, MD 20745",Oxon Hill,MD,38.7979491,-77.001692,5,1,Trucking company;Shipping equipment industry;Shipping service;Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Black%20Road%20Alliance%20-%20Freight%20Trucking%20Company%20(Main%20Office)&query_place_id=ChIJE934l1m7t4kR0wmgBVjoVt0,apify_google_maps
S‎‎‎‎u‎‎n‎‎s‎‎e‎‎‎‎‎‎t International S‎‎h‎‎‎‎i‎‎‎‎p‎‎p‎‎‎‎‎‎i‎‎‎‎n‎‎g,+12532645949,https://sunsetmoving.com/international-moving-services/washington-dc-international-shipping/,,,,38.8938062,-77.0144726,5,9,Shipping company;Service establishment;Mover;Transportation service,https://www.google.com/maps/search/?api=1&query=S%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8Eu%E2%80%8E%E2%80%8En%E2%80%8E%E2%80%8Es%E2%80%8E%E2%80%8Ee%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8Et%20International%20S%E2%80%8E%E2%80%8Eh%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8Ei%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8Ep%E2%80%8E%E2%80%8Ep%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8Ei%E2%80%8E%E2%80%8E%E2%80%8E%E2%80%8En%E2%80%8E%E2%80%8Eg&query_place_id=ChIJ1eVRUXTJt4kRUZ_Q-Vvjbpg,apify_google_maps
Amtrak Express Shipping,+18003776914,https://www.amtrak.com/express-shipping,"679-699 1st St NE, Washington, DC 20002",Washington,DC,38.8984395,-77.0072273,3.9,24,Shipping service,https://www.google.com/maps/search/?api=1&query=Amtrak%20Express%20Shipping&query_place_id=ChIJP1kuKiG4t4kRE4VOaAH9WqQ,apify_google_maps
Transo USA,+12026671308,http://www.transowine.com/,"3000 Connecticut Ave NW # 300, Washington, DC 20008",Washington,DC,38.9298905,-77.0555627,3.7,3,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Transo%20USA&query_place_id=ChIJmUtKuirIt4kRG7jn0f23_Lo,apify_google_maps
Craters & Freighters Washington DC,+12022377447,http://www.cratersandfreightersdc.com/,"113 Executive Dr # 131, Sterling, VA 20166",Sterling,VA,38.9905454,-77.4449859,4.8,27,Shipping service;Freight forwarding service;Shipping company,https://www.google.com/maps/search/?api=1&query=Craters%20%26%20Freighters%20Washington%20DC&query_place_id=ChIJ-ar3NZQ4tokRmD04h9TSiuk,apify_google_maps
Auto Car Transport,+12025075291,https://www.speedycarshipping.com/vehicle-shipping-agent/auto-transport-washington-dc,"1411 N St NW, Washington, DC 20005",Washington,DC,38.9074487,-77.032613,4.7,15,Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Auto%20Car%20Transport&query_place_id=ChIJe4pmLb63t4kRy9B6Gdwpcg0,apify_google_maps
Euro America Shipping & Trade,+12024636690,http://www.euroamerica.us/,"1900 L St NW #303, Washington, DC 20036",Washington,DC,38.9034697,-77.0439859,1,1,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Euro%20America%20Shipping%20%26%20Trade&query_place_id=ChIJG9efxrm3t4kRMMoEWoKE3eg,apify_google_maps
Xpress Auto Transport,+12023354497,https://www.xpressautoship.com/city/washington-dc/,"850 10th St NW #340, Washington, DC 20001",Washington,DC,38.9006326,-77.0262054,4,6,Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Xpress%20Auto%20Transport&query_place_id=ChIJUXcYDMq3t4kRcwKvrO32RKY,apify_google_maps
Swift Delivery & Logistics,+18006593647,https://www.swiftdeliveryandlogistics.com/,"1011 Brightseat Rd, Hyattsville, MD 20785",Hyattsville,MD,38.904045,-76.8522839,3.8,24,Logistics service;Freight forwarding service;Shipping company;Shipping equipment industry;Warehouse,https://www.google.com/maps/search/?api=1&query=Swift%20Delivery%20%26%20Logistics&query_place_id=ChIJBVgWztnBt4kRtlooCr0zml0,apify_google_maps
Direct Drive Logistics - Milwaukee,+18776335045,https://www.directdrivelogistics.com/?=GBPMilwaukee,"11122 W Rogers St, Milwaukee, WI 53227",Milwaukee,WI,43.0089518,-88.051388,4.3,43,Shipping company;Consultant;Distribution service;Logistics service;Shipping service,https://www.google.com/maps/search/?api=1&query=Direct%20Drive%20Logistics%20-%20Milwaukee&query_place_id=ChIJzdCNL4IFBYgRiujOU0XgYxs,apify_google_maps
Washington Express LLC,+13012103500,http://washingtonexpress.com/,"1001 Connecticut Ave NW # 710, Washington, DC 20036",Washington,DC,38.9028855,-77.0390405,4.8,71,Courier service;Warehouse,https://www.google.com/maps/search/?api=1&query=Washington%20Express%20LLC&query_place_id=ChIJq6qqquu3t4kREb8wLGsY9Xc,apify_google_maps
"Mailzone - FedEx, DHL, ShipCenter, International Shipping ServicePoint Partner",+12027888710,http://www.mailzoneexpress.com/,"1920 L St NW #3, Washington, DC 20036",Washington,DC,38.9036115,-77.0443621,3.7,14,Shipping company,https://www.google.com/maps/search/?api=1&query=Mailzone%20-%20FedEx%2C%20DHL%2C%20ShipCenter%2C%20International%20Shipping%20ServicePoint%20Partner&query_place_id=ChIJr2lSLxm3t4kRxuXlgD5aAM0,apify_google_maps
1 Stop Pack N Ship,+12023556396,https://1stoppacknship.com/moving-company-dc/,"1629 K St NW suite 300, Washington, DC 20006",Washington,DC,38.9029327,-77.0379235,4.6,25,Moving and storage service;Freight forwarding service;Mover;Moving supply store;Packaging company;Packaging supply store;Shipping and mailing service;Shipping company;Shipping equipment industry;Shipping service,https://www.google.com/maps/search/?api=1&query=1%20Stop%20Pack%20N%20Ship&query_place_id=ChIJNUJgcOS3t4kRQ0oeGKgljzY,apify_google_maps
Washington DC Auto Transport's,+17718883129,http://stateautotransport.com/,"1602 I St NW, Washington, DC 20006",Washington,DC,38.9012112,-77.0368437,5,3,Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Washington%20DC%20Auto%20Transport's&query_place_id=ChIJGxcpPES3t4kRKw-XsaFdwQM,apify_google_maps
"Omega Forwarding Group, LLC",+17033513322,http://www.omegaforwarding.com/,,,,38.1319444,-79.3308385,4.2,5,Freight forwarding service;Service establishment;Moving and storage service;Shipping company;Shipping service,https://www.google.com/maps/search/?api=1&query=Omega%20Forwarding%20Group%2C%20LLC&query_place_id=ChIJ7dhJaVm2t4kRqJMtdaQkbw0,apify_google_maps
T & R Transport Solutions,+12023866321,,"Washington, DC 20005",Washington,DC,38.908229,-77.030539,,0,Trucking company,https://www.google.com/maps/search/?api=1&query=T%20%26%20R%20Transport%20Solutions&query_place_id=ChIJ_____-q3t4kRPbpCDZ-rOho,apify_google_maps
Premier International Transportation,+12029990346,https://pitdrives.com/,"1200 18th St NW #800, Washington, DC 20036",Washington,DC,38.9058295,-77.0420586,4.9,109,Bus charter;Airport shuttle service;Chauffeur service;Limousine service;Transportation service,https://www.google.com/maps/search/?api=1&query=Premier%20International%20Transportation&query_place_id=ChIJga1r0uy3t4kR1z8_s64YU2U,apify_google_maps
Metro Trucking Affordable Logistics INC.,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3398991,"1144 59th St, Brooklyn, NY 11219",Brooklyn,NY,40.6312815,-74.0014018,4.9,37,Trucking company;Warehouse,https://www.google.com/maps/search/?api=1&query=Metro%20Trucking%20Affordable%20Logistics%20INC.&query_place_id=ChIJc5SkAi5FwokRkJ_ci6cNb2Y,apify_google_maps
Alaska Car Transport,+19073313100,https://www.alaskacartransport.com/,"15 Grumman Rd W Suite 1500, Bethpage, NY 11714",Bethpage,NY,40.7431822,-73.4868182,4.1,989,Shipping company;Logistics service;Mover;Shipping service;Transportation service;Vehicle exporter;Vehicle shipping agent,https://www.google.com/maps/search/?api=1&query=Alaska%20Car%20Transport&query_place_id=ChIJ3X8PekqAwokRB4yY7GPPz8U,apify_google_maps
"Eagle Logistics, LLC",+19737876377,https://goeaglelogistics.com/,"25 Continental Dr, Wayne, NJ 07470",Wayne,NJ,40.909007,-74.2469503,4.8,185,Trucking company;Freight forwarding service;Transportation service,https://www.google.com/maps/search/?api=1&query=Eagle%20Logistics%2C%20LLC&query_place_id=ChIJ9616iuEBw4kRwiA297zexUk,apify_google_maps
Capital Logistics,+18662645617,http://capitallogisticsllc.com/,"12 Water St #403b, White Plains, NY 10601",White Plains,NY,41.0340877,-73.7724895,4.4,57,Trucking company;Customs broker;Freight forwarding service;Shipping and mailing;Logistics service,https://www.google.com/maps/search/?api=1&query=Capital%20Logistics&query_place_id=ChIJX77AqjeUwokRzpLus8ccRGA,apify_google_maps
World Logistic USA,+19734653800,,"61 Hackensack Ave, Kearny, NJ 07032",Kearny,NJ,40.734118,-74.101514,4.6,9,Trucking company,https://www.google.com/maps/search/?api=1&query=World%20Logistic%20USA&query_place_id=ChIJC4-0xEpRwokRF3eN4FAjJy0,apify_google_maps
Innovative Carriers Inc,+17182187245,http://innovativecarriers.com/,"545 Broadway Unit 305, Brooklyn, NY 11206",Brooklyn,NY,40.704907,-73.948942,4,37,Trucking company,https://www.google.com/maps/search/?api=1&query=Innovative%20Carriers%20Inc&query_place_id=ChIJm-OXwNtbwokR22nlHbDCvVU,apify_google_maps
Atlantic Logistics,+17185966343,http://www.atlanticl.com/,"63 Flushing Ave, Brooklyn, NY 11205",Brooklyn,NY,40.6986122,-73.9746064,4.2,5,Trucking company,https://www.google.com/maps/search/?api=1&query=Atlantic%20Logistics&query_place_id=ChIJY5XwMSJbwokRHS_fTP0aKEQ,apify_google_maps
MTS Logistics,+12125943117,http://www.mts-logistics.com/,"5 W 37th St Suite #300, New York, NY 10018",New York,NY,40.7508859,-73.9839126,3.5,11,Freight forwarding service;Exporter;Importer,https://www.google.com/maps/search/?api=1&query=MTS%20Logistics&query_place_id=ChIJm0mAEKpZwokRxSM9s6pxbag,apify_google_maps
Northern Trucking & Logistics,+15162805080,http://www.northerntrucking.com/,"200 Garden City Plaza SUITE 224, Garden City, NY 11530",Garden City,NY,40.7375675,-73.6165145,3.5,2,Trucking company,https://www.google.com/maps/search/?api=1&query=Northern%20Trucking%20%26%20Logistics&query_place_id=ChIJ27Ycl3x9wokRuZ-WjJcx6kY,apify_google_maps
AIT Home Delivery,+18669397737,https://www.aitworldwide.com/locations/new-york-new-york-3/?utm_source=fb&utm_medium=yext&y_source=1_MzMxNjQwMTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"55 W 39th St #708, New York, NY 10018",New York,NY,40.7528228,-73.9848024,4.5,3231,Logistics service;Transportation service,https://www.google.com/maps/search/?api=1&query=AIT%20Home%20Delivery&query_place_id=ChIJ2fWNXqpZwokRj3rNT1kIPYg,apify_google_maps
Transportation Logistics Corporation,+17185536476,,"144-24 156th St, Jamaica, NY 11434",Jamaica,NY,40.666185,-73.781054,4.2,6,Trucking company,https://www.google.com/maps/search/?api=1&query=Transportation%20Logistics%20Corporation&query_place_id=ChIJGUmDruxmwokRe4DR3wHYAbU,apify_google_maps
American Trucking Company,+13474356378,,"67 Cutter Mill Rd, Great Neck, NY 11021",Great Neck,NY,40.7859416,-73.7315583,4.9,27,Trucking company,https://www.google.com/maps/search/?api=1&query=American%20Trucking%20Company&query_place_id=ChIJnahn6bCJwokRhlyrh16y1n8,apify_google_maps
Transnational Logistics,+16312323900,http://transnationalusa.com/,"45 W Jefryn Blvd, Deer Park, NY 11729",Deer Park,NY,40.757477,-73.300341,5,4,Trucking company,https://www.google.com/maps/search/?api=1&query=Transnational%20Logistics&query_place_id=ChIJR6uD1sEt6IkR_fR6e2hQwiM,apify_google_maps
Universal Trucking & Logistics Inc,+15162845606,http://utltrucking.com/,"14 W Hawthorne Ave #107, Valley Stream, NY 11580",Valley Stream,NY,40.6608673,-73.7004335,1,1,Trucking company,https://www.google.com/maps/search/?api=1&query=Universal%20Trucking%20%26%20Logistics%20Inc&query_place_id=ChIJTRO0_IlkwokRNeHKs2u2t2A,apify_google_maps
New City Logistics,+12013994939,https://newcitylogistics.com/,"600 Sylvan Ave, Englewood Cliffs, NJ 07632",Englewood Cliffs,NJ,40.8862048,-73.947444,2.6,5,Trucking company,https://www.google.com/maps/search/?api=1&query=New%20City%20Logistics&query_place_id=ChIJa7ViLV3xwokRbPD78QNVYU8,apify_google_maps
Mitchell'sNY Logistics,+18006622275,https://mitchellsnylogistics.com/,"Ground Floor - Loading Docks, 31-10 48th Ave, Long Island City, NY 11101",Long Island City,NY,40.7407961,-73.9357964,4,4,Trucking company;Courier service;Delivery service;Logistics service;Warehouse,https://www.google.com/maps/search/?api=1&query=Mitchell'sNY%20Logistics&query_place_id=ChIJcTNwSdJfwokRQmixdgWeKU0,apify_google_maps
BZS Transport Inc.,+17186186133,http://bzstransport.com/,"175 Classon Ave, Brooklyn, NY 11205",Brooklyn,NY,40.6950885,-73.9610781,4.4,33,Trucking company,https://www.google.com/maps/search/?api=1&query=BZS%20Transport%20Inc.&query_place_id=ChIJXXAyJOZbwokRuZnhQeZj8Vw,apify_google_maps
Carrier Logistics Inc.,+19143320300,https://carrierlogistics.com/,"570 Taxter Rd, Elmsford, NY 10523",Elmsford,NY,41.0578679,-73.8289802,5,2,Logistics service,https://www.google.com/maps/search/?api=1&query=Carrier%20Logistics%20Inc.&query_place_id=ChIJMaICUszqwokRk8RITvqG6Po,apify_google_maps
Crown Delivery & Logistics,+12123541114,http://www.crowndelivery.com/,"141 W 41st St # 3L, New York, NY 10036",New York,NY,40.7549306,-73.9859452,4.7,11,Trucking company,https://www.google.com/maps/search/?api=1&query=Crown%20Delivery%20%26%20Logistics&query_place_id=ChIJOYze16pZwokR_F2sjNCIayk,apify_google_maps
USA Logistics Rcp Inc,+17187127070,,"147-48 182nd St, Springfield Gardens, NY 11413",Springfield Gardens,NY,40.6587352,-73.7664479,1,2,Trucking company,https://www.google.com/maps/search/?api=1&query=USA%20Logistics%20Rcp%20Inc&query_place_id=ChIJm-GtJ-ZmwokRV6KQy21ZjWw,apify_google_maps
World Logistics USA,+19739826877,http://www.worldlogisticsusa.com/,"119 2nd St, Kearny, NJ 07032",Kearny,NJ,40.7326116,-74.1021996,4.2,15,Trucking company,https://www.google.com/maps/search/?api=1&query=World%20Logistics%20USA&query_place_id=ChIJnZRd8BlTwokRNlNh095VDwo,apify_google_maps
FJ Warehouse and Trucking Logistics LLC,+16092452433,http://www.fjwarehouse.com/,"16 Herbert St unit f, Newark, NJ 07105",Newark,NJ,40.7215433,-74.1412432,4.2,47,Warehouse;Trucking company,https://www.google.com/maps/search/?api=1&query=FJ%20Warehouse%20and%20Trucking%20Logistics%20LLC&query_place_id=ChIJl44XFG6OE64RgemMKVW5aic,apify_google_maps
Globe Logistics Inc,+19739286868,http://www.shipgl.com/,"939 Edwards Rd, Parsippany, NJ 07054",Parsippany,NJ,40.8509644,-74.351995,4.5,74,Trucking company,https://www.google.com/maps/search/?api=1&query=Globe%20Logistics%20Inc&query_place_id=ChIJGdJWLkD4wokRbDZFxnom28c,apify_google_maps
"Bayview Logistics, Inc",+12014240947,http://www.bayviewlogistics.com/,"192-194 Ave E, Bayonne, NJ 07002",Bayonne,NJ,40.6598958,-74.1180793,4.2,10,Trucking company,https://www.google.com/maps/search/?api=1&query=Bayview%20Logistics%2C%20Inc&query_place_id=ChIJsaavXrlRwokRY08Xg9FiPAQ,apify_google_maps
USA Cargo LLC,+17205323932,http://usacargollc.com/,"170-168 Genessee Ave, Paterson, NJ 07503",Paterson,NJ,40.8913643,-74.1526353,4.1,60,Trucking company,https://www.google.com/maps/search/?api=1&query=USA%20Cargo%20LLC&query_place_id=ChIJmXBjtnT_wokRebQzc08guKg,apify_google_maps
"Shawnee Trucking Co., Inc.",+12014387060,https://www.shawneetrucking.com/,"50 Somerset Pl, Clifton, NJ 07012",Clifton,NJ,40.8501181,-74.1553254,4.6,25,Trucking company,https://www.google.com/maps/search/?api=1&query=Shawnee%20Trucking%20Co.%2C%20Inc.&query_place_id=ChIJXcdtrbD_wokRoehItt2y7B8,apify_google_maps
MX Logistics,+17323466666,http://www.mxlogistics.com/,"20 Constitution Ave, Piscataway, NJ 08854",Piscataway,NJ,40.5474018,-74.4532399,4.7,78,Trucking company;Distribution service;Logistics service;Warehouse,https://www.google.com/maps/search/?api=1&query=MX%20Logistics&query_place_id=ChIJQQSDJ67Jw4kR229-BR5nyu4,apify_google_maps
Mountainview Logistics LLC,+18774333388,https://mountainviewlogisticsllc.com/,"2 University Plaza Dr Suite 100-2018, Hackensack, NJ 07601",Hackensack,NJ,40.8980095,-74.0345032,5,11,Transportation service;Logistics service;Shipping company;Shipping service;Vehicle shipping agent;Vehicle exporter,https://www.google.com/maps/search/?api=1&query=Mountainview%20Logistics%20LLC&query_place_id=ChIJYeBKAZTvwokRs-6KWTJD40c,apify_google_maps
GA Logisitics LLC,+17173402181,https://galogisticsllc.com/,"357 County Rd, Cliffwood, NJ 07721",Cliffwood,NJ,40.4390543,-74.2328323,4.5,101,Trucking company,https://www.google.com/maps/search/?api=1&query=GA%20Logisitics%20LLC&query_place_id=ChIJxRBcBj7Lw4kRckiwUAONebU,apify_google_maps
STATEWIDE CARRIERS LLC,+19734123456,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=727974,"1 Cape May St, Newark, NJ 07105",Newark,NJ,40.73867,-74.1496884,4.9,18,Trucking company,https://www.google.com/maps/search/?api=1&query=STATEWIDE%20CARRIERS%20LLC&query_place_id=ChIJ-yWeqApUwokRKAsPnuapBeU,apify_google_maps
"American Cargo Enterprise, LLC",+18622341813,http://www.shipace.com/,"18 Hyatt Ave, Newark, NJ 07105",Newark,NJ,40.7168236,-74.1393075,4.6,31,Trucking company;Container service;Container terminal;Import export company;Logistics service;Transportation service,https://www.google.com/maps/search/?api=1&query=American%20Cargo%20Enterprise%2C%20LLC&query_place_id=ChIJhWKDQOhTwokR8jR9GCo6_ZI,apify_google_maps
Mark IV Transportation & Logistics,+18005456275,http://www.markivonline.com/,"720 S Front St, Elizabeth, NJ 07202",Elizabeth,NJ,40.6352674,-74.2005982,3.6,75,Trucking company;Logistics service,https://www.google.com/maps/search/?api=1&query=Mark%20IV%20Transportation%20%26%20Logistics&query_place_id=ChIJsQ9CUXdNwokR2X9vcPMnLaY,apify_google_maps
Bound Logistics,+15512226863,https://855drayage.com/,"1620 Vauxhall Rd Suite 201, Union, NJ 07083",Union,NJ,40.6971051,-74.250467,4.7,29,Trucking company;Container service;Freight forwarding service;Logistics service,https://www.google.com/maps/search/?api=1&query=Bound%20Logistics&query_place_id=ChIJPX_6jfVFwokRPygy7wgkXIw,apify_google_maps
Voyager Trucking Corporation,+19735893444,http://www.voyagertrucking.com/,"451 Frelinghuysen Ave, Newark, NJ 07114",Newark,NJ,40.7055556,-74.1941667,4.3,24,Trucking company;Waste management service,https://www.google.com/maps/search/?api=1&query=Voyager%20Trucking%20Corporation&query_place_id=ChIJ1Ruv0vtTwokRl3QaGTvEG6E,apify_google_maps
OGAIB HAULAGE & LOGISTICS,+19082652118,,"115 Fabyan Pl, Newark, NJ 07112",Newark,NJ,40.719753,-74.2183352,5,5,Transportation service,https://www.google.com/maps/search/?api=1&query=OGAIB%20HAULAGE%20%26%20LOGISTICS&query_place_id=ChIJ8cx5cTetw4kR4ZD8-iKB_j0,apify_google_maps
Thor Xpress Transport,+19733613900,http://thorxpress.com/,"1 Slater Dr, Elizabeth, NJ 07206",Elizabeth,NJ,40.6516933,-74.1774468,4.1,66,Trucking company;Transportation service;Warehouse,https://www.google.com/maps/search/?api=1&query=Thor%20Xpress%20Transport&query_place_id=ChIJm_iGBNSzw4kRN-2doazIjcA,apify_google_maps
All Points Transport,+19733448885,http://allpointsofnj.com/,"139 Avenue L, Newark, NJ 07105",Newark,NJ,40.7215297,-74.1431564,4.2,27,Trucking company,https://www.google.com/maps/search/?api=1&query=All%20Points%20Transport&query_place_id=ChIJw5r_IpVTwokRDi-NyizQNyU,apify_google_maps
